anio,residencia_muncipio_id ,residencia_muncipio_nombre,cantidad 
2020,06182,Coronel de Marina Leonardo Rosales,2
2020,06189,Coronel Dorrego,1
2020,06196,Coronel Pringles,0
2020,06203,Coronel Suárez,0
2020,06210,Chacabuco,4
2020,06218,Chascomús,2
2020,06224,Chivilcoy,2
2020,06231,Daireaux,0
2020,06238,Dolores,0
2020,06245,Ensenada,4
2020,06252,Escobar,27
2020,06260,Esteban Echeverría,25
2020,06266,Exaltación de la Cruz,0
2020,06270,Ezeiza,18
2020,06274,Florencio Varela,58
2020,06277,Florentino Ameghino,0
2020,06280,General Alvarado,1
2020,06287,General Alvear,0
2020,06294,General Arenales,1
2020,06301,General Belgrano,0
2020,06308,General Guido,0
2020,06315,General Juan Madariaga,1
2020,06322,General La Madrid,0
2020,06329,General Las Heras,1
2020,06336,General Lavalle,0
2020,06343,General Paz,0
2020,06351,General Pinto,0
2020,06357,General Pueyrredón,12
2020,06364,General Rodríguez,10
2020,06371,General San Martín,20
2020,06385,General Viamonte,0
2020,06392,General Villegas,1
2020,06399,Guaminí,0
2020,06406,Hipólito Yrigoyen,0
2020,06408,Hurlingham,4
2020,06410,Ituzaingó,6
2020,06412,José C. Paz,29
2020,06413,Junín,3
2020,06420,La Costa,5
2020,06427,La Matanza,138
2020,06434,Lanús,30
2020,06441,La Plata,50
2020,06448,Laprida,0
2020,06455,Las Flores,0
2020,06462,Leandro N. Alem,2
2020,06466,Lezama,0
2020,06469,Lincoln,1
2020,06476,Lobería,0
2020,06483,Lobos,1
2020,06490,Lomas de Zamora,60
2020,06497,Luján,7
2020,06505,Magdalena,0
2020,06511,Maipú,0
2020,06515,Malvinas Argentinas,15
2020,06518,Mar Chiquita,0
2020,06525,Marcos Paz,0
2020,06532,Mercedes,0
2020,06539,Merlo,34
2020,06547,Monte,0
2020,06553,Monte Hermoso,1
2020,06560,Moreno,35
2020,06568,Morón,6
2020,06574,Navarro,1
2020,06581,Necochea,2
2020,06588,9 de Julio,2
2020,06595,Olavarría,2
2020,06602,Patagones,1
2020,06609,Pehuajó,0
2020,06616,Pellegrini,0
2020,06623,Pergamino,3
2020,06630,Pila,0
2020,06638,Pilar,45
2020,06644,Pinamar,1
2020,06648,Presidente Perón,12
2020,06651,Puán,0
2020,06655,Punta Indio,2
2020,06658,Quilmes,39
2020,06665,Ramallo,1
2020,06672,Rauch,0
2020,06679,Rivadavia,1
2020,06686,Rojas,0
2020,06693,Roque Pérez,0
2020,06700,Saavedra,0
2020,06707,Saladillo,1
2020,06714,Salto,0
2020,06721,Salliqueló,0
2020,06728,San Andrés de Giles,0
2020,06735,San Antonio de Areco,0
2020,06742,San Cayetano,0
2020,06749,San Fernando,15
2020,06756,San Isidro,13
2020,06760,San Miguel,22
2020,06763,San Nicolás,3
2020,06770,San Pedro,2
2020,06778,San Vicente,8
2020,06784,Suipacha,0
2020,06791,Tandil,3
2020,06798,Tapalqué,0
2020,06805,Tigre,27
2020,06812,Tordillo,0
2020,06819,Tornquist,0
2020,06826,Trenque Lauquen,0
2020,06833,Tres Arroyos,1
2020,06840,Tres de Febrero,10
2020,06847,Tres Lomas,0
2020,06854,25 de Mayo,0
2020,06861,Vicente López,9
2020,06868,Villa Gesell,1
2020,06875,Villarino,2
2020,06882,Zárate,3
2020,06999,Ignorado,45
2021,06028,Almirante Brown,57
2021,06035,Avellaneda,35
2021,06042,Ayacucho,1
2021,06049,Azul,4
2021,06056,Bahía Blanca,3
2021,06063,Balcarce,2
2021,06070,Baradero,4
2021,06077,Arrecifes,2
2021,06084,Benito Juárez,1
2021,06091,Berazategui,26
2021,06098,Berisso,6
2021,06112,Bragado,2
2021,06119,Brandsen,2
2021,06126,Campana,6
2021,06134,Cañuelas,3
2021,06154,Carlos Tejedor,1
2021,06168,Castelli,1
2021,06175,Colón,1
2021,06182,Coronel de Marina Leonardo Rosales,1
2021,06196,Coronel Pringles,4
2021,06203,Coronel Suárez,3
2021,06210,Chacabuco,1
2021,06218,Chascomús,3
2021,06224,Chivilcoy,3
2021,06245,Ensenada,6
2021,06252,Escobar,19
2021,06260,Esteban Echeverría,33
2021,06270,Ezeiza,18
2021,06274,Florencio Varela,43
2021,06277,Florentino Ameghino,1
2021,06280,General Alvarado,2
2021,06315,General Juan Madariaga,1
2021,06322,General La Madrid,1
2021,06329,General Las Heras,2
2021,06343,General Paz,1
2021,06357,General Pueyrredón,31
2021,06364,General Rodríguez,9
2021,06371,General San Martín,26
2021,06385,General Viamonte,1
2021,06406,Hipólito Yrigoyen,2
2021,06408,Hurlingham,6
2021,06410,Ituzaingó,8
2021,06412,José C. Paz,20
2021,06413,Junín,6
2021,06420,La Costa,1
2021,06427,La Matanza,140
2021,06434,Lanús,38
2021,06441,La Plata,63
2021,06448,Laprida,1
2021,06462,Leandro N. Alem,1
2021,06466,Lezama,1
2021,06469,Lincoln,1
2021,06483,Lobos,4
2021,06490,Lomas de Zamora,65
2021,06497,Luján,9
2021,06511,Maipú,1
2021,06515,Malvinas Argentinas,22
2021,06525,Marcos Paz,7
2021,06532,Mercedes,3
2021,06539,Merlo,48
2021,06547,Monte,3
2021,06553,Monte Hermoso,1
2021,06560,Moreno,49
2021,06568,Morón,9
2021,06581,Necochea,8
2021,06588,9 de Julio,5
2021,06602,Patagones,1
2021,06616,Pellegrini,1
2021,06623,Pergamino,8
2021,06638,Pilar,50
2021,06644,Pinamar,3
2021,06648,Presidente Perón,9
2021,06651,Puán,1
2021,06658,Quilmes,57
2021,06665,Ramallo,3
2021,06686,Rojas,3
2021,06693,Roque Pérez,1
2021,06700,Saavedra,2
2021,06707,Saladillo,3
2021,06714,Salto,1
